Airport ID,Airport Name,Airport City,Airport Country
6887,Alexion,Porto Heli,Greece
6888,Dusseldorf Hauptbahnhof,Dusseldorf,Germany
6889,Cambridge Municipal Airport,Cambridge,United States
6890,Dowagiac Municipal Airport,Dowagiac,United States
6891,Putnam County Airport,Greencastle,United States
6892,Everglades Airpark,Everglades,United States
6893,Galt Field Airport,Greenwood,United States
6894,Zell am See,Zell am See,Austria
6895,Geiranger,Geiranger,Norway
6896,Amberley,Amberley,Australia
6897,Tindal Airport,Katherine,Australia
6898,RAAF Williams Laverton Base,Laverton,Australia
6899,Nowra Airport,Nowra,Australia
6900,Limerick,Limerick,Ireland
6901,Thurles,Thurles,Ireland
6902,Ronda,Ronda,Spain
6903,Waukesha County Airport,Waukesha,United States
6904,Southwest Michigan Regional Airport,Benton Harbor,United States
6905,Lutsk,Lutsk,Ukraine
6906,Chernigov,Chernigov,Ukraine
6907,Ternopol,Ternopol,Ukraine
6908,Brest,Brest,Belarus
6909,Wittman Regional Airport,Oshkosh,United States
6910,Harle Airport,Harlesiel,Germany
6911,Wangerooge Airport,Wangerooge,Germany
6913,Aeroporto Prefeito Octavio de Almeida Neves,Sao Joao del Rei,Brazil
6914,RAAF Pearce,Perth,Australia
6915,Bendigo Airport,Bendigo,Australia
6916,Pangborn Field,Wenatchee,United States
6917,Antonio Juarbe Pol Airport,Arecibo,Puerto Rico
6918,Ringi Cove Airport,Ringi Cove,Solomon Islands
6919,Bellona,Bellona,Solomon Islands
6920,Bellona,Bellona,Solomon Islands
6921,Fortman Airport,St. Marys,United States
6922,Kirensk,Kirensk,Russia
6923,Kavalerovo,Kavalerovo,Russia
6924,Ust-Kut,Ust-Kut,Russia
6925,Ust-Ilimsk,Ust-Ilimsk,Russia
6926,Rimatara,Rimatara,French Polynesia
6927,Triengen Airport,Triengen,Switzerland
6928,Lausanne-la Blecherette Airport,Lausanne,Switzerland
6929,Speck-Fehraltorf Airport,Fehraltorf,Switzerland
6930,Locarno Airport,Locarno,Switzerland
6931,Neuchatel Airport,Neuchatel,Switzerland
6932,Taganrog-Juzhnyi,Taganrog,Russia
6933,Gelendzhik,Gelendzhik,Russia
6934,Zhukovski,Ramenskoe,Russia
6935,Irkutsk-2,Irkutsk,Russia
6936,Khabarovsk-MVL,Khabarovsk,Russia
6937,Dzemgi,Komsomolsk-on-Amur,Russia
6938,Borisoglebskoe,Kazan,Russia
6939,Belaya,Sredniiy,Russia
6940,Tunoshna,Yaroslavl,Russia
6941,Byron Airport,Byron,United States
6942,Daqing Saertu Airport,Daqing,China
6943,Heilongjiang Mohe Airport,Mohe County,China
6944,Jining Airport ,Jining,China
6945,Drake Bay Airport,Puntarenas,Costa Rica
6946,Altay Airport,Altay,China
6947,Tuzla,Null,Bosnia and Herzegovina
6948,Fort Worth NAS,Dallas,United States
6949,Naypyidaw,Naypyidaw,Burma
6950,Kyauktu,Kyauktu,Burma
6951,Jan Mayensfield,Jan Mayen,Norway
6952,Bokepyin,Bokepyin,Burma
6953,Huanghua Intl,Changsha,China
6954,Manzhouli,Manzhouli,China
6955,Wuhai,Wuhai,China
6956,Gary Chicago International Airport,Gary,United States
6957,Brainerd Lakes Rgnl,Brainerd,United States
6958,Greenbrier Valley Airport,Lewisburg,United States
6959,Pitt-Greenville Airport,Greenville,United States
6960,Chefornak Airport,Chefornak,United States
6961,Oxnard - Ventura County,Oxnard,United States
6962,Branson LLC,Branson,United States
6963,Tongren,Tongren,China
6964,Jinggangshan,Jian,China
