Departure Airport ID,Destination Airport ID,Route ID
2965,2990,1
2965,2990,2
2965,2990,3
2965,2990,4
2965,2990,5
2966,2990,6
2966,2990,7
2966,2990,8
2966,2990,9
2966,2990,10
2966,2962,11
2966,2962,12
2966,2962,13
2966,2962,14
2966,2962,15
2968,2990,16
2968,2990,17
2968,2990,18
2968,2990,19
2968,2990,20
2968,4078,21
2968,4078,22
2968,4078,23
2968,4078,24
2968,4078,25
4029,2990,26
4029,2990,27
4029,2990,28
4029,2990,29
4029,2990,30
4029,6969,31
4029,6969,32
4029,6969,33
4029,6969,34
4029,6969,35
4029,\N,36
4029,\N,37
4029,\N,38
4029,\N,39
4029,\N,40
4029,6160,41
4029,6160,42
4029,6160,43
4029,6160,44
4029,6160,45
6156,2952,46
6156,2952,47
6156,2952,48
6156,2952,49
6156,2952,50
6156,2990,51
6156,2990,52
6156,2990,53
6156,2990,54
6156,2990,55
2922,6969,56
2922,6969,57
2922,6969,58
2922,6969,59
2922,6969,60
2952,6156,61
2952,6156,62
2952,6156,63
2952,6156,64
2952,6156,65
2990,2965,66
2990,2965,67
2990,2965,68
2990,2965,69
2990,2965,70
2990,2966,71
2990,2966,72
2990,2966,73
2990,2966,74
2990,2966,75
2990,2968,76
2990,2968,77
2990,2968,78
2990,2968,79
2990,2968,80
2990,4029,81
2990,4029,82
2990,4029,83
2990,4029,84
2990,4029,85
2990,6156,86
2990,6156,87
2990,6156,88
2990,6156,89
2990,6156,90
2990,2948,91
2990,2948,92
2990,2948,93
2990,2948,94
2990,2948,95
2990,2975,96
2990,2975,97
2990,2975,98
2990,2975,99
2990,2975,100
2948,2990,101
2948,2990,102
2948,2990,103
2948,2990,104
2948,2990,105
2948,6969,106
2948,6969,107
2948,6969,108
2948,6969,109
2948,6969,110
2948,6160,111
2948,6160,112
2948,6160,113
2948,6160,114
2948,6160,115
2962,2966,116
2962,2966,117
2962,2966,118
2962,2966,119
2962,2966,120
6969,4029,121
6969,4029,122
6969,4029,123
6969,4029,124
6969,4029,125
6969,2922,126
6969,2922,127
6969,2922,128
6969,2922,129
6969,2922,130
6969,2948,131
6969,2948,132
6969,2948,133
6969,2948,134
6969,2948,135
6969,2975,136
6969,2975,137
6969,2975,138
6969,2975,139
6969,2975,140
2972,2975,141
2972,2975,142
2972,2975,143
2972,2975,144
2972,2975,145
2972,6160,146
