Airport ID,Route ID
2965,1
2965,2
2965,3
2965,4
2965,5
2966,6
2966,7
2966,8
2966,9
2966,10
2966,11
2966,12
2966,13
2966,14
2966,15
2968,16
2968,17
2968,18
2968,19
2968,20
2968,21
2968,22
2968,23
2968,24
2968,25
4029,26
4029,27
4029,28
4029,29
4029,30
4029,31
4029,32
4029,33
4029,34
4029,35
4029,36
4029,37
4029,38
4029,39
4029,40
4029,41
4029,42
4029,43
4029,44
4029,45
6156,46
6156,47
6156,48
6156,49
6156,50
6156,51
6156,52
6156,53
6156,54
6156,55
2922,56
2922,57
2922,58
2922,59
2922,60
2952,61
2952,62
2952,63
2952,64
2952,65
2990,66
2990,67
2990,68
2990,69
2990,70
2990,71
2990,72
2990,73
2990,74
2990,75
2990,76
2990,77
2990,78
2990,79
2990,80
2990,81
2990,82
2990,83
2990,84
2990,85
2990,86
2990,87
2990,88
2990,89
2990,90
2990,91
2990,92
2990,93
2990,94
2990,95
2990,96
2990,97
2990,98
2990,99
2990,100
2948,101
2948,102
2948,103
2948,104
2948,105
2948,106
2948,107
2948,108
2948,109
2948,110
2948,111
2948,112
2948,113
2948,114
2948,115
2962,116
2962,117
2962,118
2962,119
2962,120
6969,121
6969,122
6969,123
6969,124
6969,125
6969,126
6969,127
6969,128
6969,129
6969,130
6969,131
6969,132
6969,133
6969,134
6969,135
6969,136
6969,137
6969,138
6969,139
6969,140
2972,141
2972,142
2972,143
2972,144
2972,145
2972,146
2972,147
2972,148
2972,149
2972,150
4364,151
4364,152
4364,153
4364,154
4364,155
4078,156
4078,157
4078,158
4078,159
4078,160
4078,161
4078,162
4078,163
4078,164
4078,165
2975,166
2975,167
2975,168
2975,169
2975,170
2975,171
2975,172
2975,173
2975,174
2975,175
2975,176
2975,177
2975,178
2975,179
2975,180
2975,181
2975,182
2975,183
2975,184
2975,185
2975,186
2975,187
2975,188
2975,189
2975,190
\N,191
\N,192
\N,193
\N,194
\N,195
6160,196
6160,197
6160,198
6160,199
6160,200
6160,201
6160,202
6160,203
6160,204
6160,205
6160,206
6160,207
6160,208
6160,209
6160,210
2936,211
2936,212
2936,213
2936,214
2936,215
2936,216
2936,217
2936,218
2936,219
2936,220
2968,221
2968,222
2968,223
2968,224
2968,225
2935,226
2935,227
2935,228
2935,229
2935,230
2937,231
2937,232
2937,233
2937,234
2937,235
2937,236
2937,237
2937,238
2937,239
2937,240
2937,241
2937,242
2937,243
2937,244
2937,245
2937,246
2937,247
2937,248
2937,249
2937,250
2937,251
2937,252
2937,253
2937,254
2937,255
2937,256
2937,257
2937,258
2937,259
2937,260
2937,261
2937,262
2937,263
2937,264
2937,265
2937,266
2937,267
2937,268
2937,269
2937,270
\N,271
\N,272
\N,273
\N,274
\N,275
2925,276
2925,277
2925,278
2925,279
2925,280
8944,281
8944,282
8944,283
8944,284
8944,285
4078,286
4078,287
4078,288
4078,289
4078,290
4078,291
4078,292
4078,293
4078,294
4078,295
4078,296
4078,297
4078,298
4078,299
4078,300
6924,301
6924,302
6924,303
6924,304
6924,305
9026,306
9026,307
9026,308
9026,309
9026,310
2923,311
2923,312
2923,313
2923,314
2923,315
2786,316
2786,317
2786,318
2786,319
2786,320
2812,321
2812,322
2812,323
2812,324
2812,325
2812,326
2812,327
2812,328
2812,329
2812,330
6067,331
6067,332
6067,333
6067,334
6067,335
2801,336
2801,337
2801,338
2801,339
2801,340
2801,341
2801,342
2801,343
2801,344
2801,345
